download,upload,ping,timestamp,bytes_sent,bytes_received
457000966.4184973,22635461.070762224,27.754,2023-08-24T21:17:01.834583Z,30212096,409373932
473212944.09001225,24432094.78629571,21.058,2023-08-25T21:17:02.055828Z,30654464,409373932
722431915.8492364,24007182.53295857,30.218,2023-08-26T21:17:01.413712Z,30187520,409373932
525151214.16862714,24476270.646441024,21.317,2023-08-27T21:17:01.565967Z,30883840,409373932
641910818.5741247,23471515.243011758,34.189,2023-08-28T21:17:01.614257Z,30334976,409373932
206450820.2226981,24147602.85815652,30.311,2023-08-29T21:17:01.631246Z,30294016,258558524
585016749.9319781,25113161.35078105,21.833,2023-08-30T21:17:01.511472Z,31555584,409373932
733782232.2129797,22699294.705050487,27.527,2023-08-31T21:17:01.653329Z,29982720,409373932
602776456.7798404,24438337.00304441,22.689,2023-09-01T21:17:02.023977Z,31211520,409373932
708965718.3598261,24273815.034859274,31.108,2023-09-02T21:17:02.005086Z,30597120,409373932
447752224.724575,25125237.771960765,36.795,2023-09-03T21:17:01.631604Z,31539200,409373932
821844981.2617626,24112950.05010086,27.699,2023-09-04T21:17:01.649207Z,30212096,409373932
713404394.6723378,23472942.679397114,30.246,2023-09-05T21:17:01.292627Z,29548544,409373932
518973486.0076102,23470105.53412112,31.69,2023-09-06T21:17:01.813848Z,30466048,409373932
584233328.6291504,24456124.04468643,27.311,2023-09-07T21:17:01.446761Z,31670272,409373932
267990026.58887246,21472740.67865791,25.468,2023-09-08T21:17:02.078239Z,27590656,335413912
351864014.18909955,22052816.989639554,43.098,2023-09-09T21:17:01.506082Z,27885568,409373932
838298322.091817,23296723.145466667,20.152,2023-09-10T21:17:02.070577Z,29376512,409373932
816848890.8743874,23155640.922955424,23.029,2023-09-11T21:17:01.672710Z,30425088,409373932
621859322.480695,22699231.155651215,29.615,2023-09-12T21:17:01.751462Z,29597696,409373932
509677326.0479963,24227850.27003355,22.813,2023-09-13T21:17:01.600071Z,31506432,409373932
590856525.2986841,23741725.52177081,27.55,2023-09-14T21:17:02.005800Z,30048256,409373932
651806089.9254051,24837437.550369292,28.761,2023-09-16T21:17:01.578764Z,31211520,409373932
786388244.5692906,24564806.831652474,29.266,2023-09-17T21:17:02.211890Z,30785536,409373932
